year,round,team,points,w,d,l,gf,ga,gd,position
2009,32,Fluminense,30,6,12,14,35,52,-17,20
2009,33,Palmeiras,58,16,10,7,52,37,15,1
2009,33,Sao Paulo,58,16,10,7,46,34,12,2
2009,33,Atletico-MG,56,16,8,9,52,44,8,3
2009,33,Flamengo,54,15,9,9,49,42,7,4
2009,33,Internacional,52,15,7,11,54,40,14,5
2009,33,Cruzeiro,51,15,6,12,47,47,0,6
2009,33,Gremio,47,13,8,12,58,40,18,7
2009,33,Goias,47,13,8,12,55,58,-3,8
2009,33,Avai,47,12,11,10,52,45,7,9
2009,33,Corinthians,46,12,10,11,42,46,-4,10
2009,33,Vitoria,44,12,8,13,47,47,0,11
2009,33,Barueri,44,11,11,11,52,45,7,12
2009,33,Santos,42,10,12,11,47,50,-3,13
2009,33,Coritiba,41,11,8,14,44,48,-4,14
2009,33,Athletico-PR,40,11,7,15,36,46,-10,15
2009,33,Botafogo-RJ,38,8,14,11,45,50,-5,16
2009,33,Santo Andre,35,9,8,16,35,47,-12,17
2009,33,Nautico,35,9,8,16,41,58,-17,18
2009,33,Fluminense,33,7,12,14,38,54,-16,19
2009,33,Sport,30,7,9,17,43,57,-14,20
2009,34,Sao Paulo,59,16,11,7,47,35,12,1
2009,34,Palmeiras,58,16,10,8,52,38,14,2
2009,34,Flamengo,57,16,9,9,52,43,9,3
2009,34,Atletico-MG,56,16,8,10,53,47,6,4
2009,34,Cruzeiro,54,16,6,12,50,49,1,5
2009,34,Internacional,53,15,8,11,55,41,14,6
2009,34,Avai,50,13,11,10,53,45,8,7
2009,34,Corinthians,49,13,10,11,44,46,-2,8
2009,34,Gremio,48,13,9,12,59,41,18,9
2009,34,Goias,47,13,8,13,55,60,-5,10
2009,34,Barueri,45,11,12,11,53,46,7,11
2009,34,Santos,45,11,12,11,50,51,-1,12
2009,34,Vitoria,44,12,8,14,47,48,-1,13
2009,34,Athletico-PR,43,12,7,15,38,46,-8,14
2009,34,Coritiba,41,11,8,15,44,50,-6,15
2009,34,Botafogo-RJ,41,9,14,11,47,50,-3,16
2009,34,Fluminense,36,8,12,14,39,54,-15,17
2009,34,Santo Andre,35,9,8,17,35,49,-14,18
2009,34,Nautico,35,9,8,17,42,61,-19,19
2009,34,Sport,30,7,9,18,45,60,-15,20
2009,35,Sao Paulo,62,17,11,7,49,35,14,1
2009,35,Flamengo,60,17,9,9,54,43,11,2
2009,35,Palmeiras,59,16,11,8,54,40,14,3
2009,35,Internacional,56,16,8,11,58,42,16,4
2009,35,Atletico-MG,56,16,8,11,54,49,5,5
2009,35,Cruzeiro,55,16,7,12,51,50,1,6
2009,35,Avai,53,14,11,10,56,46,10,7
2009,35,Goias,50,14,8,13,58,61,-3,8
2009,35,Gremio,49,13,10,12,60,42,18,9
2009,35,Corinthians,49,13,10,12,45,49,-4,10
2009,35,Barueri,48,12,12,11,56,46,10,11
2009,35,Santos,45,11,12,12,51,54,-3,12
2009,35,Vitoria,44,12,8,15,47,50,-3,13
2009,35,Coritiba,44,12,8,15,46,51,-5,14
2009,35,Athletico-PR,43,12,7,16,39,48,-9,15
2009,35,Botafogo-RJ,41,9,14,12,47,53,-6,16
2009,35,Fluminense,39,9,12,14,41,55,-14,17
2009,35,Santo Andre,35,9,8,18,36,52,-16,18
2009,35,Nautico,35,9,8,18,42,63,-21,19
2009,35,Sport,31,7,10,18,47,62,-15,20
2009,36,Sao Paulo,62,17,11,8,51,38,13,1
2009,36,Flamengo,61,17,10,9,54,43,11,2
2009,36,Internacional,59,17,8,11,59,42,17,3
2009,36,Palmeiras,59,16,11,9,54,42,12,4
2009,36,Atletico-MG,56,16,8,12,54,50,4,5
2009,36,Cruzeiro,56,16,8,12,52,51,1,6
2009,36,Avai,53,14,11,11,58,50,8,7
2009,36,Gremio,52,14,10,12,62,42,20,8
2009,36,Goias,51,14,9,13,58,61,-3,9
2009,36,Corinthians,49,13,10,13,47,52,-5,10
2009,36,Barueri,48,12,12,12,57,48,9,11
2009,36,Santos,48,12,12,12,55,54,1,12
2009,36,Vitoria,47,13,8,15,49,51,-2,13
2009,36,Coritiba,44,12,8,16,46,55,-9,14
2009,36,Athletico-PR,44,12,8,16,40,49,-9,15
2009,36,Botafogo-RJ,44,10,14,12,50,55,-5,16
2009,36,Fluminense,42,10,12,14,44,55,-11,17
2009,36,Santo Andre,38,10,8,18,40,54,-14,18
2009,36,Nautico,38,10,8,18,45,65,-20,19
2009,36,Sport,31,7,10,19,47,65,-18,20
2009,37,Flamengo,64,18,10,9,56,43,13,1
2009,37,Internacional,62,18,8,11,61,43,18,2
2009,37,Palmeiras,62,17,11,9,57,43,14,3
2009,37,Sao Paulo,62,17,11,9,53,42,11,4
2009,37,Cruzeiro,59,17,8,12,56,52,4,5
2009,37,Atletico-MG,56,16,8,13,55,53,2,6
2009,37,Gremio,55,15,10,12,66,44,22,7
2009,37,Goias,54,15,9,13,62,63,-1,8
2009,37,Avai,54,14,12,11,60,52,8,9
2009,37,Corinthians,49,13,10,14,47,54,-7,10
2009,37,Santos,49,12,13,12,57,56,1,11
2009,37,Barueri,48,12,12,13,59,52,7,12
2009,37,Vitoria,47,13,8,16,49,55,-6,13
2009,37,Athletico-PR,47,13,8,16,42,49,-7,14
2009,37,Fluminense,45,11,12,14,48,55,-7,15
2009,37,Coritiba,44,12,8,17,47,59,-12,16
2009,37,Botafogo-RJ,44,10,14,13,50,57,-7,17
2009,37,Santo Andre,41,11,8,18,45,57,-12,18
2009,37,Nautico,38,10,8,19,48,70,-22,19
2009,37,Sport,31,7,10,20,48,67,-19,20
2009,38,Flamengo,67,19,10,9,58,44,14,1
2009,38,Internacional,65,19,8,11,65,44,21,2
2009,38,Sao Paulo,65,18,11,9,57,42,15,3
2009,38,Cruzeiro,62,18,8,12,58,53,5,4
2009,38,Palmeiras,62,17,11,10,58,45,13,5
2009,38,Avai,57,15,12,11,61,52,9,6
2009,38,Atletico-MG,56,16,8,14,55,56,-1,7
2009,38,Gremio,55,15,10,13,67,46,21,8
2009,38,Goias,55,15,10,13,64,65,-1,9
2009,38,Corinthians,52,14,10,14,50,54,-4,10
2009,38,Barueri,49,12,13,13,59,52,7,11
2009,38,Santos,49,12,13,13,58,58,0,12
2009,38,Vitoria,48,13,9,16,51,57,-6,13
2009,38,Athletico-PR,48,13,9,16,42,49,-7,14
2009,38,Botafogo-RJ,47,11,14,13,52,58,-6,15
2009,38,Fluminense,46,11,13,14,49,56,-7,16
2009,38,Coritiba,45,12,9,17,48,60,-12,17
2009,38,Santo Andre,41,11,8,19,46,61,-15,18
2009,38,Nautico,38,10,8,20,48,71,-23,19
2009,38,Sport,31,7,10,21,48,71,-23,20
2010,1,Avai,3,1,0,0,6,1,5,1
2010,1,Cruzeiro,3,1,0,0,2,1,1,2
2010,1,Corinthians,3,1,0,0,2,1,1,3
2010,1,Atletico-MG,3,1,0,0,2,1,1,4
2010,1,Guarani,3,1,0,0,1,0,1,5
2010,1,Palmeiras,3,1,0,0,1,0,1,6
2010,1,Ceara,3,1,0,0,1,0,1,7
2010,1,Santos,1,0,1,0,3,3,0,8
2010,1,Botafogo-RJ,1,0,1,0,3,3,0,9
2010,1,Flamengo,1,0,1,0,1,1,0,10
2010,1,Sao Paulo,1,0,1,0,1,1,0,11
2010,1,Gremio,1,0,1,0,0,0,0,12
2010,1,Atletico-GO,1,0,1,0,0,0,0,13
2010,1,Athletico-PR,0,0,0,1,1,2,-1,14
2010,1,Internacional,0,0,0,1,1,2,-1,15
2010,1,Vasco,0,0,0,1,1,2,-1,16
2010,1,Goias,0,0,0,1,0,1,-1,17
2010,1,Vitoria,0,0,0,1,0,1,-1,18
2010,1,Fluminense,0,0,0,1,0,1,-1,19
2010,1,Gremio Prudente,0,0,0,1,1,6,-5,20
2010,2,Corinthians,6,2,0,0,4,2,2,1
2010,2,Avai,4,1,1,0,8,3,5,2
2010,2,Botafogo-RJ,4,1,1,0,5,4,1,3
2010,2,Cruzeiro,4,1,1,0,4,3,1,4
2010,2,Guarani,4,1,1,0,3,2,1,5
2010,2,Ceara,4,1,1,0,2,1,1,6
2010,2,Palmeiras,4,1,1,0,1,0,1,7
2010,2,Internacional,3,1,0,1,4,4,0,8
2010,2,Fluminense,3,1,0,1,1,1,0,9
2010,2,Gremio Prudente,3,1,0,1,5,6,-1,10
2010,2,Atletico-MG,3,1,0,1,2,5,-3,11
2010,2,Santos,2,0,2,0,4,4,0,12
2010,2,Flamengo,2,0,2,0,2,2,0,13
2010,2,Athletico-PR,1,0,1,1,3,4,-1,14
2010,2,Sao Paulo,1,0,1,1,2,3,-1,15
2010,2,Vitoria,1,0,1,1,1,2,-1,16
2010,2,Gremio,1,0,1,1,1,2,-1,17
2010,2,Vasco,1,0,1,1,1,2,-1,18
2010,2,Atletico-GO,1,0,1,1,0,1,-1,19
2010,2,Goias,0,0,0,2,2,4,-2,20
2010,3,Corinthians,9,3,0,0,5,2,3,1
2010,3,Avai,7,2,1,0,10,3,7,2
2010,3,Botafogo-RJ,7,2,1,0,8,4,4,3
2010,3,Palmeiras,7,2,1,0,5,2,3,4
2010,3,Ceara,7,2,1,0,3,1,2,5
2010,3,Atletico-MG,6,2,0,1,5,6,-1,6
2010,3,Flamengo,5,1,2,0,5,3,2,7
2010,3,Cruzeiro,5,1,2,0,6,5,1,8
2010,3,Santos,5,1,2,0,6,5,1,9
2010,3,Guarani,5,1,2,0,5,4,1,10
2010,3,Sao Paulo,4,1,1,1,4,3,1,11
2010,3,Fluminense,3,1,0,2,1,2,-1,12
2010,3,Internacional,3,1,0,2,4,6,-2,13
2010,3,Gremio Prudente,3,1,0,2,6,9,-3,14
2010,3,Vitoria,1,0,1,2,1,3,-2,15
2010,3,Atletico-GO,1,0,1,2,1,3,-2,16
2010,3,Athletico-PR,1,0,1,2,4,7,-3,17
2010,3,Gremio,1,0,1,2,3,6,-3,18
2010,3,Vasco,1,0,1,2,1,4,-3,19
2010,3,Goias,0,0,0,3,2,7,-5,20
2010,4,Corinthians,12,4,0,0,9,4,5,1
2010,4,Ceara,10,3,1,0,4,1,3,2
2010,4,Botafogo-RJ,8,2,2,0,9,5,4,3
2010,4,Avai,7,2,1,1,10,6,4,4
2010,4,Palmeiras,7,2,1,1,5,3,2,5
2010,4,Internacional,6,2,0,2,8,7,1,6
2010,4,Fluminense,6,2,0,2,4,3,1,7
2010,4,Atletico-MG,6,2,0,2,6,9,-3,8
2010,4,Guarani,6,1,3,0,5,4,1,9
2010,4,Flamengo,5,1,2,1,6,5,1,10
2010,4,Sao Paulo,5,1,2,1,4,3,1,11
2010,4,Cruzeiro,5,1,2,1,6,6,0,12
2010,4,Santos,5,1,2,1,8,9,-1,13
2010,4,Gremio,4,1,1,2,6,6,0,14
2010,4,Vitoria,4,1,1,2,5,6,-1,15
2010,4,Gremio Prudente,4,1,1,2,8,11,-3,16
2010,4,Goias,3,1,0,3,5,8,-3,17
2010,4,Vasco,2,0,2,2,2,5,-3,18
2010,4,Atletico-GO,1,0,1,3,2,6,-4,19
2010,4,Athletico-PR,1,0,1,3,5,11,-6,20
2010,5,Corinthians,13,4,1,0,11,6,5,1
2010,5,Ceara,11,3,2,0,4,1,3,2
2010,5,Fluminense,9,3,0,2,6,4,2,3
2010,5,Avai,8,2,2,1,10,6,4,4
2010,5,Botafogo-RJ,8,2,2,1,9,6,3,5
2010,5,Sao Paulo,8,2,2,1,5,3,2,6
2010,5,Palmeiras,8,2,2,1,5,3,2,7
2010,5,Santos,8,2,2,1,11,10,1,8
2010,5,Cruzeiro,8,2,2,1,7,6,1,9
2010,5,Internacional,6,2,0,3,10,10,0,10
2010,5,Atletico-MG,6,2,0,3,9,13,-4,11
2010,5,Flamengo,6,1,3,1,7,6,1,12
2010,5,Guarani,6,1,3,1,6,7,-1,13
2010,5,Gremio,5,1,2,2,7,7,0,14
2010,5,Vitoria,5,1,2,2,5,6,-1,15
2010,5,Vasco,5,1,2,2,5,7,-2,16
2010,5,Gremio Prudente,5,1,2,2,8,11,-3,17
2010,5,Goias,4,1,1,3,5,8,-3,18
2010,5,Athletico-PR,4,1,1,3,7,12,-5,19
2010,5,Atletico-GO,1,0,1,4,3,8,-5,20
2010,6,Corinthians,16,5,1,0,13,6,7,1
2010,6,Ceara,14,4,2,0,6,1,5,2
2010,6,Fluminense,12,4,0,2,8,5,3,3
2010,6,Flamengo,9,2,3,1,8,6,2,4
2010,6,Santos,9,2,3,1,11,10,1,5
2010,6,Cruzeiro,9,2,3,1,7,6,1,6
2010,6,Guarani,9,2,3,1,7,7,0,7
2010,6,Botafogo-RJ,8,2,2,2,11,9,2,8
2010,6,Avai,8,2,2,2,10,8,2,9
2010,6,Gremio,8,2,2,2,9,8,1,10
2010,6,Sao Paulo,8,2,2,2,6,5,1,11
2010,6,Palmeiras,8,2,2,2,5,4,1,12
2010,6,Gremio Prudente,8,2,2,2,9,11,-2,13
2010,6,Goias,7,2,1,3,7,9,-2,14
2010,6,Athletico-PR,7,2,1,3,10,14,-4,15
2010,6,Internacional,6,2,0,4,10,12,-2,16
2010,6,Atletico-MG,6,2,0,4,10,15,-5,17
2010,6,Vitoria,5,1,2,3,6,8,-2,18
2010,6,Vasco,5,1,2,3,5,8,-3,19
2010,6,Atletico-GO,1,0,1,5,3,9,-6,20
2010,7,Corinthians,17,5,2,0,15,8,7,1
2010,7,Ceara,17,5,2,0,7,1,6,2
2010,7,Fluminense,15,5,0,2,11,5,6,3
2010,7,Santos,12,3,3,1,15,10,5,4
2010,7,Guarani,12,3,3,1,8,7,1,5
2010,7,Sao Paulo,11,3,2,2,9,6,3,6
2010,7,Goias,10,3,1,3,9,10,-1,7
2010,7,Botafogo-RJ,9,2,3,2,13,11,2,8
2010,7,Flamengo,9,2,3,2,9,8,1,9
2010,7,Palmeiras,9,2,3,2,6,5,1,10
2010,7,Cruzeiro,9,2,3,2,8,8,0,11
2010,7,Gremio,8,2,2,3,10,11,-1,12
2010,7,Avai,8,2,2,3,10,11,-1,13
2010,7,Vitoria,8,2,2,3,7,8,-1,14
2010,7,Gremio Prudente,8,2,2,3,9,12,-3,15
2010,7,Internacional,7,2,1,4,11,13,-2,16
2010,7,Athletico-PR,7,2,1,4,10,15,-5,17
2010,7,Atletico-MG,6,2,0,5,10,16,-6,18
2010,7,Vasco,5,1,2,4,5,12,-7,19
2010,7,Atletico-GO,4,1,1,5,5,10,-5,20
2010,8,Corinthians,18,5,3,0,15,8,7,1
2010,8,Ceara,18,5,3,0,7,1,6,2
2010,8,Fluminense,16,5,1,2,12,6,6,3
2010,8,Santos,12,3,3,2,16,12,4,4
2010,8,Flamengo,12,3,3,2,10,8,2,5
2010,8,Cruzeiro,12,3,3,2,10,8,2,6
2010,8,Palmeiras,12,3,3,2,8,6,2,7
2010,8,Guarani,12,3,3,2,8,10,-2,8
2010,8,Sao Paulo,11,3,2,3,10,8,2,9
2010,8,Avai,11,3,2,3,12,12,0,10
2010,8,Goias,11,3,2,3,9,10,-1,11
2010,8,Internacional,10,3,1,4,14,13,1,12
2010,8,Atletico-MG,9,3,0,5,13,18,-5,13
2010,8,Botafogo-RJ,9,2,3,3,13,12,1,14
2010,8,Gremio,9,2,3,3,11,12,-1,15
2010,8,Vitoria,9,2,3,3,8,9,-1,16
2010,8,Gremio Prudente,9,2,3,3,10,13,-3,17
2010,8,Athletico-PR,7,2,1,5,10,17,-7,18
2010,8,Vasco,6,1,3,4,5,12,-7,19
2010,8,Atletico-GO,4,1,1,6,7,13,-6,20
2010,9,Corinthians,21,6,3,0,16,8,8,1
2010,9,Fluminense,19,6,1,2,13,6,7,2
2010,9,Ceara,18,5,3,1,8,3,5,3
2010,9,Flamengo,15,4,3,2,11,8,3,4
2010,9,Cruzeiro,15,4,3,2,11,8,3,5
2010,9,Avai,14,4,2,3,16,14,2,6
2010,9,Internacional,13,4,1,4,16,14,2,7
2010,9,Guarani,13,3,4,2,9,11,-2,8
2010,9,Santos,12,3,3,3,16,13,3,9
2010,9,Vitoria,12,3,3,3,11,11,0,10
2010,9,Palmeiras,12,3,3,3,10,10,0,11
2010,9,Gremio Prudente,12,3,3,3,12,13,-1,12
2010,9,Sao Paulo,11,3,2,4,12,11,1,13
2010,9,Goias,11,3,2,4,9,11,-2,14
2010,9,Botafogo-RJ,10,2,4,3,14,13,1,15
2010,9,Atletico-MG,9,3,0,6,13,19,-6,16
2010,9,Gremio,9,2,3,4,11,14,-3,17
2010,9,Vasco,9,2,3,4,8,13,-5,18
2010,9,Athletico-PR,7,2,1,6,11,20,-9,19
2010,9,Atletico-GO,4,1,1,7,7,14,-7,20
2010,10,Fluminense,22,7,1,2,14,6,8,1
2010,10,Corinthians,21,6,3,1,17,11,6,2
2010,10,Ceara,19,5,4,1,9,4,5,3
2010,10,Internacional,16,5,1,4,18,15,3,4
2010,10,Flamengo,16,4,4,2,12,9,3,5
2010,10,Avai,15,4,3,3,17,15,2,6
2010,10,Cruzeiro,15,4,3,3,11,9,2,7
2010,10,Guarani,14,3,5,2,10,12,-2,8
2010,10,Vitoria,13,3,4,3,13,13,0,9
2010,10,Palmeiras,13,3,4,3,12,12,0,10
2010,10,Gremio Prudente,13,3,4,3,13,14,-1,11
2010,10,Santos,12,3,3,4,16,15,1,12
2010,10,Sao Paulo,12,3,3,4,13,12,1,13
2010,10,Goias,12,3,3,4,11,13,-2,14
2010,10,Botafogo-RJ,11,2,5,3,16,15,1,15
2010,10,Athletico-PR,10,3,1,6,13,20,-7,16
2010,10,Gremio,10,2,4,4,12,15,-3,17
2010,10,Vasco,10,2,4,4,9,14,-5,18
2010,10,Atletico-MG,9,3,0,7,14,21,-7,19
2010,10,Atletico-GO,7,2,1,7,10,15,-5,20
2010,11,Corinthians,24,7,3,1,20,12,8,1
2010,11,Fluminense,23,7,2,2,15,7,8,2
2010,11,Ceara,20,5,5,1,9,4,5,3
2010,11,Internacional,19,6,1,4,19,15,4,4
2010,11,Avai,16,4,4,3,17,15,2,5
2010,11,Cruzeiro,16,4,4,3,13,11,2,6
2010,11,Flamengo,16,4,4,3,12,10,2,7
2010,11,Santos,15,4,3,4,17,15,2,8
2010,11,Vitoria,14,3,5,3,13,13,0,9
2010,11,Palmeiras,14,3,5,3,12,12,0,10
2010,11,Gremio Prudente,14,3,5,3,13,14,-1,11
2010,11,Guarani,14,3,5,3,11,15,-4,12
2010,11,Athletico-PR,13,4,1,6,15,20,-5,13
2010,11,Vasco,13,3,4,4,11,14,-3,14
2010,11,Sao Paulo,12,3,3,5,13,13,0,15
2010,11,Goias,12,3,3,5,11,15,-4,16
2010,11,Botafogo-RJ,12,2,6,3,17,16,1,17
2010,11,Gremio,11,2,5,4,14,17,-3,18
2010,11,Atletico-MG,10,3,1,7,14,21,-7,19
2010,11,Atletico-GO,7,2,1,8,10,17,-7,20
2010,12,Fluminense,26,8,2,2,18,8,10,1
2010,12,Corinthians,25,7,4,1,21,13,8,2
2010,12,Internacional,20,6,2,4,19,15,4,3
2010,12,Ceara,20,5,5,2,10,6,4,4
2010,12,Avai,19,5,4,3,21,16,5,5
2010,12,Cruzeiro,19,5,4,3,14,11,3,6
2010,12,Santos,18,5,3,4,19,16,3,7
2010,12,Flamengo,17,4,5,3,12,10,2,8
2010,12,Sao Paulo,15,4,3,5,15,14,1,9
2010,12,Botafogo-RJ,15,3,6,3,20,17,3,10
2010,12,Palmeiras,15,3,6,3,13,13,0,11
2010,12,Guarani,15,3,6,3,12,16,-4,12
2010,12,Vitoria,14,3,5,4,14,16,-2,13
2010,12,Gremio Prudente,14,3,5,4,14,16,-2,14
2010,12,Vasco,14,3,5,4,11,14,-3,15
2010,12,Athletico-PR,13,4,1,7,16,23,-7,16
2010,12,Goias,12,3,3,6,12,19,-7,17
2010,12,Gremio,12,2,6,4,14,17,-3,18
2010,12,Atletico-MG,10,3,1,8,14,22,-8,19
2010,12,Atletico-GO,8,2,2,8,11,18,-7,20
2010,13,Fluminense,29,9,2,2,20,9,11,1
2010,13,Corinthians,28,8,4,1,22,13,9,2
2010,13,Ceara,21,5,6,2,10,6,4,3
2010,13,Internacional,20,6,2,5,19,18,1,4
2010,13,Cruzeiro,20,5,5,3,14,11,3,5
2010,13,Avai,19,5,4,4,22,20,2,6
2010,13,Santos,18,5,3,5,21,20,1,7
2010,13,Botafogo-RJ,18,4,6,3,23,17,6,8
2010,13,Guarani,18,4,6,3,16,17,-1,9
2010,13,Flamengo,17,4,5,4,12,11,1,10
2010,13,Vasco,17,4,5,4,12,14,-2,11
2010,13,Sao Paulo,16,4,4,5,16,15,1,12
2010,13,Palmeiras,16,3,7,3,14,14,0,13
2010,13,Gremio Prudente,15,3,6,4,14,16,-2,14
2010,13,Athletico-PR,14,4,2,7,17,24,-7,15
2010,13,Vitoria,14,3,5,5,14,17,-3,16
2010,13,Goias,13,3,4,6,13,20,-7,17
2010,13,Gremio,12,2,6,5,15,19,-4,18
2010,13,Atletico-MG,10,3,1,9,14,25,-11,19
2010,13,Atletico-GO,9,2,3,8,11,18,-7,20
2010,14,Fluminense,32,10,2,2,23,9,14,1
2010,14,Corinthians,28,8,4,2,24,16,8,2
2010,14,Avai,22,6,4,4,25,22,3,3
2010,14,Santos,21,6,3,5,23,20,3,4
2010,14,Internacional,21,6,3,5,20,19,1,5
2010,14,Botafogo-RJ,21,5,6,3,25,17,8,6
2010,14,Cruzeiro,21,5,6,3,16,13,3,7
2010,14,Ceara,21,5,6,3,10,7,3,8
2010,14,Flamengo,20,5,5,4,13,11,2,9
2010,14,Vasco,20,5,5,4,14,15,-1,10
2010,14,Palmeiras,19,4,7,3,16,14,2,11
2010,14,Guarani,18,4,6,4,17,20,-3,12
2010,14,Sao Paulo,17,4,5,5,18,17,1,13
2010,14,Vitoria,17,4,5,5,18,19,-1,14
2010,14,Gremio,15,3,6,5,17,19,-2,15
2010,14,Gremio Prudente,15,3,6,5,15,18,-3,16
2010,14,Athletico-PR,14,4,2,8,17,26,-9,17
2010,14,Atletico-MG,13,4,1,9,17,26,-9,18
2010,14,Goias,13,3,4,7,13,22,-9,19
2010,14,Atletico-GO,9,2,3,9,11,20,-9,20
2010,15,Fluminense,33,10,3,2,25,11,14,1
2010,15,Corinthians,31,9,4,2,27,16,11,2
2010,15,Santos,24,7,3,5,25,21,4,3
2010,15,Internacional,24,7,3,5,21,19,2,4
2010,15,Botafogo-RJ,24,6,6,3,26,17,9,5
2010,15,Ceara,24,6,6,3,12,8,4,6
2010,15,Avai,22,6,4,5,25,23,2,7
2010,15,Cruzeiro,21,5,6,4,16,14,2,8
2010,15,Vasco,21,5,6,4,16,17,-1,9
2010,15,Flamengo,20,5,5,5,13,12,1,10
2010,15,Vitoria,20,5,5,5,19,19,0,11
2010,15,Palmeiras,20,4,8,3,16,14,2,12
2010,15,Guarani,19,4,7,4,17,20,-3,13
2010,15,Gremio Prudente,18,4,6,5,17,19,-2,14
2010,15,Athletico-PR,17,5,2,8,18,26,-8,15
2010,15,Sao Paulo,17,4,5,6,18,20,-2,16
2010,15,Gremio,15,3,6,6,18,21,-3,17
2010,15,Atletico-MG,13,4,1,10,17,28,-11,18
2010,15,Goias,13,3,4,8,14,24,-10,19
2010,15,Atletico-GO,10,2,4,9,12,21,-9,20
2010,16,Fluminense,36,11,3,2,28,11,17,1
2010,16,Corinthians,31,9,4,3,27,17,10,2
2010,16,Santos,27,8,3,5,27,21,6,3
2010,16,Internacional,27,8,3,5,22,19,3,4
2010,16,Botafogo-RJ,27,7,6,3,27,17,10,5
2010,16,Cruzeiro,24,6,6,4,17,14,3,6
2010,16,Ceara,24,6,6,4,12,9,3,7
2010,16,Avai,22,6,4,6,25,24,1,8
2010,16,Vasco,22,5,7,4,16,17,-1,9
2010,16,Flamengo,21,5,6,5,13,12,1,10
2010,16,Vitoria,21,5,6,5,20,20,0,11
2010,16,Athletico-PR,20,6,2,8,19,26,-7,12
2010,16,Palmeiras,20,4,8,4,16,17,-1,13
2010,16,Guarani,20,4,8,4,18,21,-3,14
2010,16,Sao Paulo,18,4,6,6,18,20,-2,15
2010,16,Gremio Prudente,18,4,6,6,17,20,-3,16
2010,16,Gremio,15,3,6,7,19,23,-4,17
2010,16,Atletico-MG,14,4,2,10,17,28,-11,18
2010,16,Atletico-GO,13,3,4,9,15,21,-6,19
2010,16,Goias,13,3,4,9,14,27,-13,20
2010,17,Fluminense,37,11,4,2,30,13,17,1
2010,17,Corinthians,34,10,4,3,29,18,11,2
2010,17,Santos,30,9,3,5,29,22,7,3
2010,17,Internacional,28,8,4,5,22,19,3,4
2010,17,Botafogo-RJ,27,7,6,4,27,18,9,5
2010,17,Cruzeiro,25,6,7,4,18,15,3,6
2010,17,Ceara,25,6,7,4,14,11,3,7
2010,17,Avai,23,6,5,6,27,26,1,8
2010,17,Palmeiras,23,5,8,4,18,18,0,9
2010,17,Vasco,23,5,8,4,17,18,-1,10
2010,17,Guarani,23,5,8,4,20,22,-2,11
2010,17,Athletico-PR,21,6,3,8,20,27,-7,12
2010,17,Flamengo,21,5,6,6,14,14,0,13
2010,17,Vitoria,21,5,6,6,21,22,-1,14
2010,17,Sao Paulo,19,4,7,6,20,22,-2,15
2010,17,Gremio Prudente,19,4,7,6,19,22,-3,16
2010,17,Gremio,16,3,7,7,20,24,-4,17
2010,17,Atletico-MG,14,4,2,11,18,30,-12,18
2010,17,Atletico-GO,14,3,5,9,17,23,-6,19
2010,17,Goias,13,3,4,10,14,29,-15,20
2010,18,Fluminense,38,11,5,2,31,14,17,1
2010,18,Corinthians,37,11,4,3,34,19,15,2
2010,18,Santos,31,9,4,5,29,22,7,3
2010,18,Internacional,31,9,4,5,24,19,5,4
2010,18,Botafogo-RJ,30,8,6,4,28,18,10,5
2010,18,Cruzeiro,28,7,7,4,19,15,4,6
2010,18,Vasco,26,6,8,4,19,18,1,7
2010,18,Ceara,25,6,7,5,15,13,2,8
2010,18,Athletico-PR,24,7,3,8,22,28,-6,9
2010,18,Palmeiras,24,5,9,4,19,19,0,10
2010,18,Avai,23,6,5,7,28,28,0,11
2010,18,Guarani,23,5,8,5,20,23,-3,12
2010,18,Sao Paulo,22,5,7,6,22,23,-1,13
2010,18,Vitoria,22,5,7,6,21,22,-1,14
2010,18,Flamengo,21,5,6,7,14,15,-1,15
2010,18,Gremio,19,4,7,7,21,24,-3,16
2010,18,Gremio Prudente,19,4,7,7,19,23,-4,17
2010,18,Atletico-MG,17,5,2,11,21,31,-10,18
2010,18,Atletico-GO,14,3,5,10,18,25,-7,19
2010,18,Goias,13,3,4,11,15,32,-17,20
2010,19,Fluminense,38,11,5,3,32,16,16,1
2010,19,Corinthians,38,11,5,3,35,20,15,2
2010,19,Santos,31,9,4,6,29,23,6,3
2010,19,Internacional,31,9,4,6,24,20,4,4
2010,19,Botafogo-RJ,31,8,7,4,30,20,10,5
2010,19,Cruzeiro,31,8,7,4,22,17,5,6
2010,19,Athletico-PR,27,8,3,8,23,28,-5,7
2010,19,Vasco,27,6,9,4,20,19,1,8
2010,19,Guarani,26,6,8,5,22,24,-2,9
2010,19,Sao Paulo,25,6,7,6,25,25,0,10
2010,19,Ceara,25,6,7,6,15,15,0,11
2010,19,Palmeiras,24,5,9,5,21,22,-1,12
2010,19,Avai,23,6,5,8,28,29,-1,13
2010,19,Flamengo,22,5,7,7,14,15,-1,14
2010,19,Vitoria,22,5,7,7,22,26,-4,15
2010,19,Gremio,20,4,8,7,23,26,-3,16
2010,19,Gremio Prudente,19,4,7,8,19,25,-6,17
2010,19,Atletico-MG,17,5,2,12,23,34,-11,18
2010,19,Atletico-GO,17,4,5,10,22,26,-4,19
2010,19,Goias,13,3,4,12,16,37,-21,20
2010,20,Fluminense,41,12,5,3,35,17,18,1
2010,20,Corinthians,38,11,5,4,35,21,14,2
